GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
20000,Kansas,3,Current-dollar GDP (millions of current dollars),160435.4,160448.1,161311.9,162682.8,165477.1,168173,169379.1,170242.9,170324.8,172358.4,174183.2,175703.4,175123.7
21000,Kentucky,1,Real GDP (millions of chained 2012 dollars),183808.3,183804.1,184522.2,186029,185815.5,187036,187660.8,188349.9,188393.5,188863.3,189569.4,190636.1,187786.1
21000,Kentucky,2,Chain-type quantity indexes for real GDP,104.257,104.255,104.662,105.517,105.396,106.088,106.443,106.833,106.858,107.125,107.525,108.13,106.514
21000,Kentucky,3,Current-dollar GDP (millions of current dollars),198681.9,199239.8,201065.7,203874.1,204566.6,207645.5,209064.6,211073.3,211800.8,213734.6,215585.5,217563.8,215237.5
22000,Louisiana,1,Real GDP (millions of chained 2012 dollars),230363.4,230724.7,231602.2,232802,235760.6,237027.9,238006.4,238693.8,238690.2,239695.8,241432.8,242082.4,237953.7
22000,Louisiana,2,Chain-type quantity indexes for real GDP,98.605,98.759,99.135,99.649,100.915,101.457,101.876,102.17,102.169,102.599,103.343,103.621,101.854
22000,Louisiana,3,Current-dollar GDP (millions of current dollars),234651.8,236489.1,240334,245342.4,251744.8,256654.9,259272.8,261478.5,260428.1,263094.2,264853.3,267051.5,262168.1
23000,Maine,1,Real GDP (millions of chained 2012 dollars),55775.4,55809.9,56380.4,56791.7,56971.5,57431.8,57827.6,57570.9,58243.5,58326.3,58632.3,58911.3,57955.1
23000,Maine,2,Chain-type quantity indexes for real GDP,105.487,105.553,106.632,107.41,107.75,108.62,109.369,108.883,110.155,110.312,110.891,111.418,109.61
23000,Maine,3,Current-dollar GDP (millions of current dollars),61191.7,61430.1,62370.6,63168.6,63697.9,64746.4,65434.3,65545.5,66589.8,67137.9,67905.3,68441.3,67793.2
24000,Maryland,1,Real GDP (millions of chained 2012 dollars),357968.9,358294.1,360190.9,363666.6,365940.2,369137.1,369751.7,370611.8,372262.4,373690.1,374654.2,376935.8,372139
24000,Maryland,2,Chain-type quantity indexes for real GDP,106.913,107.01,107.577,108.615,109.294,110.249,110.432,110.689,111.182,111.609,111.897,112.578,111.145
24000,Maryland,3,Current-dollar GDP (millions of current dollars),389499.1,391216.6,395281.9,401036.7,405572.7,412084.7,414703.9,417975.6,422247.3,426407.3,430388.3,434311.7,431856.5
25000,Massachusetts,1,Real GDP (millions of chained 2012 dollars),484000.9,488634.2,493803.1,496921.1,500791.6,505668.9,508175.2,509655.4,515184.2,517128.5,519917.7,522644.1,515853.3
25000,Massachusetts,2,Chain-type quantity indexes for real GDP,108.928,109.971,111.134,111.836,112.707,113.805,114.369,114.702,115.946,116.384,117.012,117.625,116.097
25000,Massachusetts,3,Current-dollar GDP (millions of current dollars),529771.8,536709,545175.9,551487.6,558472,568220.1,573506.4,577753.7,586347.5,592587.9,599091.6,604207.8,600554.1
26000,Michigan,1,Real GDP (millions of chained 2012 dollars),456396.1,457873.4,458999.3,463247.5,468059.3,470249.8,472547.8,471260,471390.6,472734.3,474300.7,477012.6,468704.6
26000,Michigan,2,Chain-type quantity indexes for real GDP,108.962,109.315,109.584,110.598,111.747,112.27,112.818,112.511,112.542,112.863,113.237,113.884,111.901
26000,Michigan,3,Current-dollar GDP (millions of current dollars),500147.6,503004.7,506250.1,512842.3,519926,526008.7,530613.5,531835,534426.7,539231.7,543976.5,548567.5,541621.8
27000,Minnesota,1,Real GDP (millions of chained 2012 dollars),325431.4,324826.5,323894.9,327138,329301.1,333190,336527,336660.1,336350.8,338002.6,339646.4,341009.2,337517
27000,Minnesota,2,Chain-type quantity indexes for real GDP,110.579,110.374,110.057,111.159,111.894,113.216,114.35,114.395,114.29,114.851,115.41,115.873,114.686
27000,Minnesota,3,Current-dollar GDP (millions of current dollars),349261.5,349757.5,350522.3,356125.8,360356.8,367676.1,372694.5,374682.1,375032.1,379387.3,383093.6,385906.7,383693.8
28000,Mississippi,1,Real GDP (millions of chained 2012 dollars),101485.8,100995.8,101435.8,102145.3,102013.5,103083.5,103125.6,103126.9,103393.9,103980.6,104458.7,105003.6,103624.3
28000,Mississippi,2,Chain-type quantity indexes for real GDP,101.878,101.387,101.828,102.54,102.408,103.482,103.525,103.526,103.794,104.383,104.863,105.41,104.025
28000,Mississippi,3,Current-dollar GDP (millions of current dollars),109269.1,109223,110399,112002.5,112673.8,114940.3,115471,116251.6,116930.1,118263,119497.1,120429.4,119353.5
29000,Missouri,1,Real GDP (millions of chained 2012 dollars),275001.8,277554.4,279104.1,281107.3,281771.6,285326.2,286267.8,286330.7,288694.6,290121,291857,293152.2,289609.8
29000,Missouri,2,Chain-type quantity indexes for real GDP,102.322,103.272,103.848,104.594,104.841,106.163,106.514,106.537,107.417,107.947,108.593,109.075,107.757
29000,Missouri,3,Current-dollar GDP (millions of current dollars),299665.5,303306.2,306496.9,310316.2,312514.3,319013.2,321184.4,322971.9,326693.8,330532.2,334286.1,336816.2,334659.6
30000,Montana,1,Real GDP (millions of chained 2012 dollars),44638.4,45146.2,45176,45156.4,45654.1,46073.8,46333.6,46817.3,46764.2,47055.1,47322.6,47580.9,46928.1
30000,Montana,2,Chain-type quantity indexes for real GDP,106.267,107.476,107.547,107.5,108.685,109.684,110.303,111.454,111.328,112.02,112.657,113.272,111.718
